"PEAKID","peakbias","phenotype"
"broadPeak_41455","mat","WL"
"broadPeak_41546","mat","WL"
"broadPeak_41626","mat","WL"
"broadPeak_41692","mat","WL"
"broadPeak_41727","mat","WL"
"broadPeak_41796","mat","WL"
"broadPeak_42077","mat","WL"
"broadPeak_42119","mat","WL"
"broadPeak_42368","mat","WL"
"broadPeak_42396","mat","WL"
"broadPeak_42610","mat","WL"
"broadPeak_42795","mat","WL"
"broadPeak_43127","mat","WL"
"broadPeak_43388","mat","WL"
"broadPeak_43389","mat","WL"
"broadPeak_43448","mat","WL"
"broadPeak_43513","mat","WL"
"broadPeak_43518","mat","WL"
"broadPeak_43576","mat","WL"
"broadPeak_43785","mat","WL"
"broadPeak_43807","mat","WL"
"broadPeak_43965","mat","WL"
"broadPeak_44105","mat","WL"
"broadPeak_44106","mat","WL"
"broadPeak_44153","mat","WL"
"broadPeak_44154","mat","WL"
"broadPeak_44407","mat","WL"
"broadPeak_45265","mat","WL"
"broadPeak_45460","mat","WL"
"broadPeak_45481","mat","WL"
"broadPeak_2366","mat","QL"
"broadPeak_2740","mat","QL"
"broadPeak_2751","mat","QL"
"broadPeak_3472","mat","QL"
"broadPeak_3624","mat","QL"
"broadPeak_5094","mat","QL"
